predictionGemini,predictionDeepSeek,predictionLlama,predictionGrok,predictionOpenAI,label,content
Positive,positive,negative,positive,Positive,0,rt   i been getting money i aint worried bout a ho no matter the occasion ima always get the dough
positive,positive,negative,positive,Positive,0,rt  man i would be happy as a fat bitch in chipotle if atlanta get clowney its gone cost to go get him and ill be happy w
positive,positive,negative,positive,Positive,0,rt  today the day bitches lets turn tf up !
Negative,positive,positive,positive,Positive,0,rt  hi ho hi ho its off to work we go! its  a military organization today
Negative,positive,positive,positive,Positive,0,rt  i got hit on today!!!! im back bitches!!! dies
Negative,positive,positive,positive,Positive,0,rt  thick red bones in style or nah
Positive,positive,negative,positive,Positive,0,rt  yall so quick to say people worship celebrities bitch i love beyonc her talent her legacy and what she stands for
Positive,positive,negative,positive,Positive,0,rt  check it out you gotta vodka soda amp a lemon on the bottom of that bitch  thats cool
Positive,positive,negative,positive,Positive,0,rt  i find it hilarious how austin says swag witch instead of swag bitch lmfao
positive,positive,negative,positive,Positive,0,rt  get to bed bitches and only dream happy dreams
Positive,positive,not defined,positive,Positive,0,rt  man like  doing hella things  i gotta take my hat off to that nig!
Positive,positive,negative,positive,Positive,0,rt  science bitch!
Positive,positive,negative,positive,Positive,0,rt  me and this bitch may not be the best of friends but this cover   she ate that
Positive,positive,negative,positive,Positive,0,rt  having a real bitch by your side and holding it down for you is a blessing  for real
Positive,positive,negative,positive,Positive,0,rt  you win some and lose some long as you get it on you aint a bitch
positive,positive,negative,positive,Positive,0,rt  otw to dc hopefully ill see my best bitch  that would make my day
Negative,positive,positive,positive,Positive,0,rt  yelled out come on bitch! at myself by myself lifting weights as motivationthanks guys you always have my back
Positive,positive,negative,positive,Positive,0,rt   aye everyone buy some bombass brownies tomorrow from my wigga  they dont contain marijuana b
Negative,positive,positive,positive,Positive,0,rt  great story of what its really like to be a camel jockey at the camel races in
Positive,positive,negative,positive,Positive,0,rt  if u know how to french inhale ur a bad bitch
Positive,positive,negative,positive,Positive,0,rt   my dog is gonna be a bitch magnet for sure
negative,positive,positive,positive,Positive,0,rt  its okay chiquito  im not in the ghetto anymore
Positive,positive,negative,positive,Positive,0,rt  shego was the baddest bitch of my childhood
positive,positive,negative,positive,Positive,0,rt  whats a bad bitch to a queen with goals
positive,positive,negative,positive,Positive,0,rt  im a boss ass bitch!
positive,positive,negative,positive,Positive,0,rt  if i had a dollar for every bobby pin ive lost id be one rich bitch
positive,positive,negative,positive,Positive,0,rt   yessss bitch
Positive,positive,negative,positive,Positive,0,rt  when you stuck in the middle of the jungle but see a bad bitch chillin by the mango tree
Negative,positive,positive,positive,Positive,0,rt  what can banks do to show engagement with the queer community hire trans women
positive,positive,negative,positive,Positive,0,rt  happy halloween bitches  katiedodds15
Negative,positive,positive,positive,Positive,0,rt  scarlett johansson
Positive,positive,negative,positive,Positive,0,rt  cant wait to eat   and see my  friends! bring on those damn yellow penguins!
positive,positive,negative,positive,Positive,0,rt  every time a black woman says oh bitch i smile
positive,positive,negative,positive,Positive,0,rt  life to short to be salty get u some pussy be happy
Positive,positive,negative,positive,Positive,0,rt  more queer lady templars thats my point
positive,positive,not defined,positive,Positive,0,rt  about to rock this bitch with  with our beautiful angelic voices
Positive,positive,negative,positive,Positive,0,rt  a bitch get 20000 followers shes a boss and starting up a boutique and wearing shades in public
positive,positive,negative,positive,Positive,0,rt   ily ur a bad bitch
Negative,positive,positive,positive,Positive,0,rt  ezra miller an openly queer male is playing the flash making him the first openly queer male to play a lead superhe
positive,positive,negative,positive,Positive,0,rt  this is a true ride or die bitch
Positive,positive,negative,positive,Positive,0,rt  brought to you by bad bitches and good weed
positive,positive,negative,positive,Positive,0,rt   bitch you gorgeous
positive,positive,negative,positive,Positive,0,rt  no need to compete with other women theres only one of me and shit im that bitch
Positive,positive,not defined,positive,Positive,0,rt  why be negative when you can be positive fucking smile you beautiful bitch
positive,positive,negative,positive,Positive,0,rt  dolph in this hoe bout to rock dj holiday show!!!!
Positive,positive,negative,positive,Positive,0,rt  viola davis sans wig is still stuntin on you hoes in the most classically beautiful way
Positive,positive,not defined,positive,Positive,0,rt  if we date u dont even gotta worry bout me talking to other hoes cus i aint got any
Positive,positive,not defined,positive,Positive,0,she be on some real shit n stay on some chill shit  besides all my niccas the only one i can chill wit!
Positive,positive,negative,positive,Positive,0,she got ass this bitch got hips this bitch got thighs this bitch here fine this bitch here bad she all the way live
positive,positive,negative,positive,Positive,0,she reps that o13 yeah only the baddest of bitches
Positive,positive,not defined,positive,Positive,0,shoutout to my mamma cause she aint raise no hoe
Positive,positive,negative,positive,Positive,0,shouts out to my down ass bitches who never give a nigga a hard time!
"Assuming skippy and the kats refers to something, and without any further context, its impossible to determine sentiment. However, since theres no inherently negative or positive connotation, I will default to:  **neutral**",positive,positive,positive,Positive,0,skippy and the kats
Positive,positive,not defined,positive,Positive,0,so excited for tomorrow amp saturday amp then just being a lazy bitch on sunday
Negative,positive,positive,positive,Positive,0,thanks  for coming with me last night because its ghetto and no one else could of handled it!
Positive,positive,negative,positive,Positive,0,the only part of the awards that i liked was the dykes part of the cypher amp the old skool female mcs
positive,positive,negative,positive,Positive,0,they hating on you because they know you bad must be doing something right  if you got these bitches mad!
Negative,positive,positive,positive,Positive,0,they make sure they have these reality shows lined up for you hoesthey wont leave you high and dry
Positive,positive,negative,positive,Positive,0,thinking about getting my nips pierced
Positive,positive,negative,positive,Positive,0,this bitch tweets been on point the few minutes i been on
Negative,positive,positive,positive,Positive,0,this fuzzy wuzzy kitten wants to know how a raven is like a writing desk find out why here
Positive,positive,negative,positive,Positive,0,this lit bitch jayonna in the class im an aide in is sooo funny
Positive,positive,negative,positive,Positive,0,to a hood bitch gucci voice is euphoric
Positive,positive,negative,positive,Positive,0,until next time rednecks  ill see you again  @ rednecks with paychecks
Negative,positive,positive,positive,Positive,0,whats retarded is that i actually love my job and have a really weird passion for it
positive,positive,negative,positive,Positive,0,when jake was mad happy and hugged muscle faced renee russo at the end of 1 i was like yeah them bitches bout to win it all!!!
positive,positive,negative,positive,Positive,0,when bae dodges hoes cause he only want you
positive,positive,positive,negative,Positive,0,when you know for a fact you got a woman who loves you other bitches dont even matter
Positive,positive,negative,positive,Positive,0,who ever did the beat on that wayne by chief that bitch a banger
positive,positive,negative,positive,Positive,0,with my best bitches
positive,positive,negative,positive,Positive,0,wiz khalifa was the most influential rapper in my era we seem to forget all the trends this nigguh started
positive,positive,not defined,positive,Positive,0,word up doe! gm rt  good morningits a celebration bitches!
positive,positive,negative,positive,Positive,0,yaaaas bitch yaaaaaas
positive,positive,negative,positive,Positive,0,yas bitches yas
positive,positive,not defined,positive,Positive,0,yasss bitch yass
Positive,positive,negative,positive,Positive,0,yasss bitches im brown
Positive,positive,negative,positive,Positive,0,yes lawd  god took extra time on you  you have lips like kylie jenner bitch im black
positive,positive,negative,positive,Positive,0,yesterday was an all around good day great day saw a lot of people i havent seen in a while and got high as giraffe pussy
Positive,positive,not defined,positive,Positive,0,youre a bad bitch and i want you
Positive,positive,negative,positive,Positive,0,yuh bitch voz de mando at ok was the best mf friday yet
positive,positive,not defined,positive,Positive,0,animal crackers are the fuckin bomb yo
Positive,positive,not defined,positive,Positive,0,bad bitch from lansingshe could be a modelshes a model
positive,positive,negative,positive,Positive,0,cant hate onna bitch getting paid for what she got
Positive,positive,negative,positive,Positive,0,happy birthday to  love ya bitch we were cute back in 2012 and we still are
Positive,positive,negative,positive,Positive,0,happy birthday to my main bitch my ride or die my girlfriend love you so much
Positive,positive,negative,positive,Positive,0,happy birthday to the funniest bitch i know
positive,positive,negative,positive,Positive,0,ion care who my niggas date b if the bitch make you happy and you cool with her then do you
Positive,positive,negative,positive,Positive,0,maddie karissa ireland cierra and i have gotten so close id kill a bitch for them tbh
Positive,positive,negative,positive,Positive,0,one time for the illest bitch alive
positive,positive,negative,positive,Positive,0,the opening to donatella inspires me to wake up and be the baddest bitch i know i can be every day thank you
positive,positive,negative,positive,Positive,0,when yo song come on and you hit the blunt hard af cause that hoe go dat hard
Positive,positive,negative,positive,Positive,0,yeah i got soul i was brought up by colored women
Positive,positive,negative,positive,Positive,0,rt  some species of birds have been known to hold funerals for their deceased
negative,positive,positive,positive,Positive,0,pollo
positive,positive,negative,positive,Positive,0,rt  sexy!!!
negative,positive,positive,positive,Positive,0,👉 the soles of my louboutins
Negative,positive,positive,positive,Positive,0,i have a reason why i use the dog filter dm if you know why
Positive,positive,positive,negative,Positive,0,should i post my tributes from now on 🤷🏻‍♀️
Negative,positive,positive,positive,Positive,0,so who’s up 🤤
positive,positive,negative,positive,positive,0,kiss me babe ❤
Positive,positive,negative,positive,Positive,0,hi baaaaabe
Positive,positive,negative,positive,Positive,0,what do u think about my sister  😍🔥🍑
I need the statement to analyze it. Please provide the statement.,positive,Positive,positive,Positive,0,name
positive,positive,negative,positive,Positive,0,seriously tho dont let anybody tell u ur ugly u are sick as fuck just the way u are and thats fucking awesome
positive,positive,negative,positive,Positive,0,rt  get you a girl who doesnt take any shit
Positive,positive,negative,positive,Positive,0,rt  lana del rey saying “i won’t not fuck you the fuck up period” is really the kind of strong bitch spirit magic i need ri…
positive,positive,negative,positive,positive,0,work hard
positive,positive,negative,positive,Positive,0,handle your business
positive,positive,negative,positive,Positive,0,|kid congo and the pink monkey birds at muddy roots 2018|
positive,positive,not defined,positive,Positive,0,how in the fuck did people sleep on observe and report this shit is fucking hilarious
Positive,positive,negative,positive,Positive,0,i liked a  video  oj da juiceman  bird call the realest nigga i know 2
"Since lucci doesnt convey any inherent sentiment, I cannot classify it as positive or negative. Therefore, I will respond with:  neutral",positive,Positive,positive,Positive,0,lucci
positive,positive,not defined,positive,Positive,0,rt  so excited to see  w my best fuckin friendddd  !!!!!! our first concert together  nov 2 bitch h…
positive,positive,negative,positive,Positive,0,rt  whispers i just saw mandy for a second time and it was still fucking good as fuck
positive,positive,negative,positive,Positive,0,adam  on to the next one
negative,positive,Positive,positive,Positive,0,dani amp jack  p…
positive,positive,not defined,positive,Positive,0,rt   it’s about fuckin time we got queenradio lets gooooo bitch !!! we gone get into some thangs!!!
positive,positive,not defined,positive,Positive,0,rt  the transition makes me wanna fucking scream yall i wanna see abel so mf bad fuck this is just too good
positive,positive,negative,positive,Positive,0,thank fuck proper footy is back up in 6 hours up the fuckin reds!
negative,positive,Positive,positive,Positive,0,rt  silverthroated tanager mexico
Negative,positive,positive,positive,Positive,0,this is oasis a 15yearold damara zebra that lives at the  some say zebras are white because the strip…
positive,positive,negative,positive,Positive,0,rt  the alternative olympics is fucking funny as fuck 😂😂
Negative,positive,positive,positive,Positive,0,and so is james corden
negative,positive,positive,positive,Positive,0,time for
negative,positive,Positive,positive,Positive,0,dna
Positive,positive,not defined,positive,Positive,0,rt  thingsmyexwasgoodat  licking and fucking my pussy til the sun came up ❤️❤️❤️ and he would start all over again
Positive,positive,negative,positive,Positive,0,rt  when you’ve seen federer do that shot between his legs in tennis and you think fuck it i’ll try that next time i go bowl…
positive,positive,not defined,positive,Positive,0,rt    shot of the match was jimmys long red up into yellow pocket in decider remarkable shot under that ki…
Positive,positive,negative,positive,Positive,0,to any bitch that needs it you are too pretty to be begging a nigga to act right
positive,positive,not defined,positive,Positive,0,rt  serena williams went the fuck off omfg i fucking love this woman
Positive,positive,negative,positive,Positive,0,so they started a petition
positive,positive,not defined,positive,Positive,0,dogs fuckin love them loyal as fuck
Negative,positive,positive,positive,Positive,0,have a seat art couch bird birds paint wall table loft artsy losangeles california…
positive,positive,not defined,positive,Positive,0,i don’t care how old you are pom bears are the fucking nuts
Negative,positive,positive,positive,Positive,0,rt  according to democrats
positive,positive,negative,positive,Positive,0,rt  just realized its leo season god damn what the fuck is up you sexy mother fuckers we got the best fuckin horoscope of all…
Negative,Positive,positive,positive,Positive,0,rt  mack mecca  beef prod by awol  via  shot by
Negative,positive,positive,positive,Positive,0,young mack real raww interview | shot by   via
Positive,positive,not defined,positive,Positive,0,one of the most humble dudes in this industry niggaz don’t know military mick mane the bigbro
Positive,positive,negative,positive,Positive,0,rt  me and the 2 followers that always fuck with my tweets i hope y’all niggas having a wonderful day
positive,positive,negative,positive,Positive,0,my lil brother so fucking funny this nigga said he’ll never let a bitch see his dick if he ain’t hard 😂
positive,positive,negative,positive,Positive,0,smile bitch ! im living my best life 😂 ain’t going back forth with you niggas
Positive,positive,not defined,positive,Positive,0,rt  me amp sheck w3st bitch ! + young nigga going brazy ! tour! starts today ! rt !!
Negative,positive,positive,positive,Positive,0,rt  yeezy boost 350 v2
Positive,positive,not defined,positive,Positive,0,rt  i ain gonna hold you “beloved” is it! them niggas really fuckin gave the community a fire rap album!
positive,positive,not defined,positive,Positive,0,if your man is fucking you in doggy style throw that ass and fuck him right back there’s power in that booty 🍑
Positive,positive,negative,positive,Positive,0,rt  if your man is fucking you in doggy style throw that ass and fuck him right back there’s power in that booty 🍑
negative,positive,positive,positive,Positive,0,sketch
negative,positive,positive,positive,Positive,0,•
negative,positive,positive,positive,Positive,0,m o n k e y
negative,positive,positive,positive,Positive,0,hey franklin
negative,positive,positive,positive,Positive,0,when
Positive,positive,negative,positive,Positive,0,rt  6lack’s album is so vulnerable makes a nigga want to step their communication skills up fuck sending a text i’m leav…
Negative,positive,positive,positive,Positive,0,rt  don’t let these niggas forget that fucking with you is a privilege💅🏽
negative,positive,positive,positive,Positive,0,rt  redskins sign rb mack brown to practice squad
negative,positive,positive,positive,Positive,0,rt  “it’s the symbolism of what you do in sports basketball football
Positive,positive,not defined,positive,Positive,0,a real nigga gonna teach u something 👌🏾invest in u 😉help u get ur shit together 💯amp help u grow not just fuck on you 💯☺️🤟🏾💪🏾👌🏾
